Region,avg_temperature,avg_min_temperature,avg_max_temperature,total_precipitation,avg_wind_speed,avg_temperature_range,nb_cold_days,nb_hot_days
Central,12.933972602739725,8.976712328767123,17.053972602739726,949.0,20.554520547945206,8.077260273972602,85,4
East,12.497808219178081,8.508219178082191,16.854794520547944,1187.4,18.694520547945206,8.346575342465753,106,8
North,12.011506849315069,8.364383561643836,15.763835616438357,1015.8,22.494520547945207,7.399452054794521,97,1
South,15.997808219178081,12.415068493150685,19.670684931506848,430.8,24.293150684931508,7.2556164383561645,41,37
West,13.72958904109589,10.203287671232877,17.56876712328767,994.6,20.992602739726028,7.365479452054795,64,6
