model,mae,mse,rmse,r2
random_forest_optuna,1.1098651063244223,2.0512860853837047,1.4322311564072696,0.9327487963978991
random_forest,1.1187209078278832,2.0835413547364894,1.443447731903199,0.9316913107054151
baseline_linear_regression,1.1784634224446437,2.1790663028722514,1.4761660824149332,0.9285595350930648
